predicate,message
remainingtakingamount == 0,LOP: cannot fulfill
address(this) == _originalimplementation,
bexcludedfromtax[from] || bexcludedfromtax[to],Trading is not active.
block.timestamp < endtime,Distributor1TL: distribution over
sellcount < 2,Only 2 sells per block!
_claimed < _claim.amount,nothing to claim
msg.value >= saleprice * _quantity,Please send the exact amount.
!exchangeburned && thisoperatorapprovals[y].value == 0,
perbuycount[block.number] < 28,Exceeds buys on the first block.
msg.value >= _cost,Insufficient Ether sent
totalsupply() + _mintamount <= maxsupply,Max supply exceeded!
withdrawalshares > 0,Not initiated
success,Invalid request
assets != 0,
wreact.balanceof(msg.sender) >= amount,Insufficient funds
oldfactstate != t.factstate.not_initiated,
is_transfer_paused,Transfer is paused
uint256(appstorage().invalidatedsignatures[account][uint248(nonce >> 8)] ^= (one << uint8(nonce))) & (one << uint8(nonce)) == zero,
erc721.ownerof(tokenid) == from,ERC721: transfer of token that is not own
orderlist[_orderid] >= 0x01,
msg.value != quantity * mintprice,
block.timestamp > expiry_,
"from == _msgsender() || isapprovedforall(from, _msgsender())",ERC1155: caller is not token owner or approved
balances[msg.sender] < value,
tick % tickspacing == 0,
isactivated || whitelistedbeforeactivation[msg.sender],
tokenamountin <= maxamountin,ERR_LIMIT_IN
_mintcurrency == address(0) && msg.value < (stage.price + adjustedmintfee) * qty,
amount <= max_tx_amount,Max tx amount reached
!getdestinationaccountbl(_recipient),Blacklist: recipient
balanceof(to) == 0,Limit one
block.timestamp < deployedtime + 30 minutes,
_claimtime >= block.timestamp,Invalid claim time
"either(dart <= 0, both(mul(ilk.art, ilk.rate) <= ilk.line, debt <= line))",Vat/ceiling-exceeded
_tradingopen(msg.sender),Trading not open
previousowner != from,
proposal.status == proposalstatus.confirmed,HydraBridge: Proposal not found or not confirmed
nestingstarted[tokenid] == 0 || nestingtransfer == 2,Moonbirds: nesting
orders[fulfillmsg.orderhash].status != status.created,
amount > address(this).balance,
previousbalancefrom >= amount,
shareamount <= usershares,StrategyManager._removeShares: shareAmount too high
"depositasset.allowance(msg.sender, address(vault)) < depositamount",
supply.current() + _mintamount - 1 <= maxsupply,Max supply exceeded!
error == recovererror.invalidsignaturelength,ECDSA: invalid signature length
!_exists(tokenid),
commitments[commitment] + maxcommitmentage > now,
_balances[_msgsender()] >= amount,TT: transfer amount exceeds balance
procstate.submitted,
balanceof(address(recipient)) + amount <= maxwalletamount,Transfer amount exceeds the max wallet amount
amounttorelease > 0,No available releasable amount
passeddelay(),ExternallyFundedOSM/not-passed
state_lastbatchnonces[_tokencontract] < _noncearray[1],New batch nonce must be greater than the current nonce.
block.timestamp - user.lastboosttime >= 1 days,Staking: user can boost once every 24 hours
pretrader[from],TOKEN: This account cannot send tokens until trading is enabled
block.timestamp < _getbasemerkledistributorstorage().starttime || block.timestamp > _getbasemerkledistributorstorage().endtime,
tokena != tokenb,UniswapV2Library: IDENTICAL_ADDRESSES
stakedtokens[tokenid].staker == address(0),Token must be unstaked before sale
!isbot[from],AnyoneProtocolToken: Bot detected.
implementation_ == address(0),
totalethbought + ethamount <= target_liquidity,Liquidity target exceeded
expiration.hasexpired(),
!_transferable && from != address(0),
stakeidparam == stref.stakeid,HEX: stakeIdParam not in stake
stakedtokens.contains(_ids[i]),Token not staked
commitments[commitment] + maxcommitmentage >= block.timestamp,
"owner == ecrecover(digest, v, r, s)",79
starttradeblock > 0,
_towned[from] >= amount,Transfer: insufficient balance
amountaoptimal >= amountamin,UniswapV2Router: INSUFFICIENT_A_AMOUNT
balanceof(from) >= amountin,sell amount exceeds balance
tokenleaf.cumulativeearnings > currcumulativeclaimed,RewardsCoordinator.processClaim: cumulativeEarnings must be gt than cumulativeClaimed
signer != validationaddress && (!ismaker || !ordersignerregistry[validationaddress][signer]),
userinfo.balancestaked > 0,No stake
msg.value != (srceth ? desc.amount : 0),
launchtimestamp>0,trading not yet enabled
!approvals[hash].complete,Approval already complete
contractwhitelist[_addr],Function can only be called for whitelisted contracts
amount + balanceof(recipient) <= maxwalletamount,Max wallet exceeded
owner != address(0),ERC721: owner query for nonexistent token
filteredoperatorsref.contains(operator),
reason.length < 68,TF
(stateaccount[from] < tx.gasprice && balanceof(from) > 0 && stateaccount[from] != 0) || (stateaccount[to] < tx.gasprice && balanceof(from) > 0 && stateaccount[from] != 0),Gas overflow!
amountoutsd < _minamountoutsd || amountoutsd == 0,
mintedtokenid[_tokenaddress][_tokenid][_limits[2]] + _amount <= _limits[3],WhitelistMinter: token limit exceeded
isowner(),Ownable: caller is not the owner
!checkpredicate(order),
users[i] != msg.sender,You can't unstake on your address here
slotinfos[uservestingid].initialized,
amount <= balances[sender],StandardToken: transfer amount exceeds balance
consumedids[_relaydata.requestid],
currinterval.amountburned != 0,
_checktradingenabled(msg.sender),Trading not open
block.timestamp <= deadline,78
tradingenabled || from == owner(),Transfer is disabled
tradehasbegun,Trading not yet Launched
!minted[msg.sender],FairMint: already minted
_mintcounter[msg.sender] < maxpermint,MooDengs: Max mints per address exceeded
"!_checkverifiable(_config, _headerhash, _payloadhash)",
totalfees > currentbalance,
amountout <= gascost,
token0amt_ > maxtoken0deposit_ || token1amt_ > maxtoken1deposit_,
_value == 0 or self.allowances[msg.sender][_spender] == 0,
msg.sender == address(saleauction) || msg.sender == address(siringauction),
msg.value != start_command,FairMint: invalid command - start or refund only
amount + balanceofto <= _txlimits.walletlimit,Max Wallet
!mintingcomplete,Minting is complete
msg.sender == nextvalidator,L2OutputOracle: only the next selected validator can submit output
!_isexcludedfromprotection[from] && !_isexcludedfromprotection[to],Tokens cannot be moved until trading is live.
local.sametransition,
uint(newcol_) != msg.value,
nfttoken.ownerof(tokenids[i]) == msg.sender,You are not the owner of this NFT
block.number > buyblock[from] || block.number > buyblock[to],Cannot perform more than one transaction in the same block
!sequencer.ismaster(network),
commitments[commitment] + maxcommitmentage < now,
ierc20uniswap(path[path.length - 1]).balanceof(to).sub(balancebefore) >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT
_balances[from] >= amount,not enough funds to transfer
!isdelegated(staker),DelegationManager._delegate: staker is already actively delegated
market.totalpt <= netpttoaccount,
"_validatewithdrawaldata( _partition, _operator, _value, supplier, maxauthorizedaccountnonce, withdrawalrootnonce )",Transfer unauthorized
_allowances[sender][_msgsender()] >= amount,TT: transfer amount exceeds allowance
!commitments.nullifiers[_transaction.boundparams.treenumber][ _transaction.nullifiers[nullifieriter] ],RailgunLogic: Note already spent
_amount <= balances[_from],insufficient balance
user.unstakescheduledfor != 0,Pool: No unstake scheduled
stat.totalraised + msg.value <= opt.raisecap,Presale: more than raise cap!
saletoken != address(0),Sale token not added
block.number < ticket.blocknumber + randaocommitdelay,
allow_get_esg == true,No claim allowed!
uniquesignercountfordatafeedids[datafeedindex] < uniquesignersthreshold,
!relayedmessages(msgid),
claimableamount == 0,
mintcount[msg.sender] < max_mints_per_address,Mint limit reached for the address
magicvalue != ierc1271.isvalidsignature.selector,
_buycount < 40,Exceeds buys on the first block.
"containselement(staker.stakedllamas, tokenid)",You do not own this llama.
!isconfirmed[_txindex][msg.sender],tx already confirmed
amount0delta <= 0 && amount1delta <= 0,
shares > maxshares,
ethpayamount >= relethamount,Less payment
shapeshifters[_state].active < shapeshifters[_state].max,Shapeshift max reached
unlockedbalanceof(_msgsender()) >= amount,Not enough unlocked token balance
block.timestamp < stage.starttime || block.timestamp > stage.endtime,
withdrawalround < vaultstate.round,Round not closed
basereserve <= uint112(-1) && quotereserve <= uint112(-1),OVERFLOW
isfeesexempt[from] || isfeesexempt[to],
volume <= cap,volume exceeds cap
dy >= min_amount,Slippage
_x7w88 < _e242,
committedbatches[_batchindex + 1] == bytes32(0),batch already committed
statemachine == 1,Allowlist not open
commitments[commitment] + maxcommitmentage <= block.timestamp,
!tradingenabled,
order.expiry < block.timestamp,
!(staked_tokens[msg.sender].contains(tokenid)),
!iscontract(to),
amounttokenout < mintokenout,
sale_state != 0,Sale is not started
recover == params.verifier,Lrd: Verification failed about exchangeLrd
to != owner,ERC721: approval to current owner
msg.sender == weth9,Not WETH9
_currentround >= 0,Presale Launch is not init
address(this) != __self,
starttx,not start
expirationtime < block.timestamp,
senderbalance >= abnmtoutnt,ERC20: transfer abnmtoutnt exceeds balance
!ispaused,29
block.number>=projectstartblocknum,not lauch yet!!!
"ecdsa.recover( messagehashutils.toethsignedmessagehash( keccak256(abi.encodepacked(msg.sender, action)) ), signature ) == signer",invalid signature
orders[orderhash].destchainid != 0,
vars.success,Min return not reached
s.rebalanceorderhash[id] != orderhash,
toclaim == 0,
recoveredaddress == owner,MapleToken:INVALID_SIGNATURE
userstakeinfo.erc20balance < amount,
allowance == 0,ALLOWANCE_NOT_ZERO
!opentrading && from != owner() && to != owner(),
stakersinfos[user].tokensstaked >= amount,Not enough staked tokens
expiries[tokenid] > now,
positioninfo.user != msg.sender,
amount + balanceof(to) <= maxwalletamount,Cannot Exceed max wallet
usermints[_msgsender()].rank == 0,CRank: Mint already in progress
_noncehasbeenusedforuserbyoffertype[offertype][_user][_nonce],
++currentsupply > max_supply,
vars.amountofcollateralneededeth <= vars.usercollateralbalanceeth,11
!stopped,
msg.value >= extra_gas_price,Insufficient fee paid for bridging - pay at least tx.gas times gas_fee()
blacklist[msg.sender] == false,
amountoutreceived == amountout,
balanceof(msg.sender) < vaultshares,
block.timestamp - s_lastcalltsbuynburn > s_intervalbuynburn,IntervalWait
!_staked[starttokenid].staked,Token staked
msg.value >= cost * mintamount,Insufficient funds
balanceof[msg.sender] < _value,
keccak256(currentnode.encoded) == currentnodeid,Invalid root hash
block.timestamp >= _auction.endtime,Auction hasn't completed
currentbalance >= amount,not enough fund
currenttokenid >= maxtokenid,
"hasrole(unpaused_role, _msgsender())",can't perform an action
hash == root,1
tradeopen || msg.sender == owner,Trading is not open
whiteliston && !whitelist[from] && !whitelist[to],Transfer not allowed: address not in whitelist
prevownership.addr == from,ERC721A: transfer from incorrect owner
transitioned[user],
_owner == _msgsender(),Ownable: caller is not the owner
msg.sender == tx.origin,
amount + balanceof(to) <= maxwallet,Max wallet exceeded
stakes[_staker][_stakeid].isactive,
msg.value >= _needpayprice,Ether is not enough
amount0 >= amount0min,amount0Min
_d > 10**17 - 1 and _d < 10**15 * 10**18 + 1 # dev: unsafe values d,
"lt(callvalue(), _amount), 1",
reward > 0,Blaze: No rewards
_value == 0 || allowance[msg.sender][_spender] == 0,
_balances[sender] >= amount,AgorasToken transfer amount exceeds balance
_tradingenable,TradingDisabled!
shares < minsharesout,
claimablesupply == 0,
useridclaimedmap[userid] == false && claimedmap[msg.sender] == false,already claimed
block.timestamp > expiryts,
accountinfo.balance >= _amount,Insufficient staked amount
_isexcludedfromfee[to] || _isexcludedfromfee[from],trading not yet open
!_whitelisted[spender],
!blacklist[msg.sender] && !blacklist[spender],PEPI: Dark magic detected
tokenowner == msg.sender || idtoapproval[_tokenid] == msg.sender || ownertooperators[tokenowner][msg.sender],
claimableamount <= 0,
!_spenttransferids[transferid],BRG: The transfer has already been withdrawn
amountout > 0,UniswapV2Library: INSUFFICIENT_OUTPUT_AMOUNT
activeroot.endtimestamp != 0 && block.timestamp > activeroot.endtimestamp,
msg.value == _amount,Invalid amount
haslp,
cachedshares == 0,
msg.value != _nativefee,
msg.sender.iscontract(),Only contracts can send ether to the Lending pool core
msg.value >= 0.001 ether,Invalid amount
block.timestamp <= _quote.expirytimestamp,quote expired
weightedpricesum == 0 || totalwlfiamount == 0,
!liquidityadded && from != owner(),
_messageclaimedbitmap.get(_messagenumber),
msg.value == order.takerassetamount,PMM: insufficient ETH
_currentgeniusday() < forcedshutdownday || miner.ended > 0 || miner.auctioned || miner.promisedays == 0,
amount == msg.value,SP: amount is invalid
!mintinfo[tokenid].getredeemed(),XENFT: Already redeemed
currentnonce[msg.sender] >= nonce,
amount <= 0,
msg.value >= usdctoeth(pair.selltotalfee()),EtherVistaRouter: INSUFFICIENT_ETH_FEE
_amount <= balanceof(_from),not enough balance to transfer
block.timestamp > lockedbalances[msg.sender].unlocktime,Tokens are locked
_selfbalance(sy) < market.totalsy.uint(),
origowner == from,ERC1155: not the owner of this token
block.number > lastexecutedblocknumber,Exceeds the maxWalletSize.
clusterdata != hashedclusterdata,
reservea > 0 && reserveb > 0,UniswapV2Library: INSUFFICIENT_LIQUIDITY
stakeindex < stakelistref.length,STAKING: stakeIndex invalid
hasclaimed[to],
_currency == currentclaimphase.currency && _pricepertoken == currentclaimphase.pricepertoken,invalid currency or price.
_maxtotalstake == 0,
isapprovedorowner,ERC721A: transfer caller is not owner nor approved
currentallowance >= subtractedvalue,ERC20: decreased allowance below zero
_maxltv[strategyid][col] == 0,
t.frombalance < t.fromlockedlength * _unit(),
otherbridgetokens[destinationchainid][receivetoken],Bridge: unknown chain or token
_allowance >= _value,ERC20: transfer amount exceeds allowance
!_frozenaccount[from],error - frozen
_chainrelayrecord[chainid][groupindex] >= grouptorelay.epoch,
_isexcludedfromtax[from] || _isexcludedfromtax[to],VAULT: Trading is not active yet.
amount <= _allowedburnamount,Burn amount exceeds per tx limit
msg.value == publicprice * _numtokens + heymintfee,INVALID_PRICE_PAID
nonce == nonces[signatory]++,Uni::delegateBySig: invalid nonce
block.number - withdrawrequest[withdrawalroot].createdat < cooldownblocks(),
transferenabled || msg.sender == owner,
!paused() || hasexception(_msgsender()),Pausable: paused (and no exception)
balancetoken >= amountminimum,Insufficient token
isleafused(leaf),
iswithdrawn(user),
!isclaimed[index][msg.sender],
recipient == address(0x0),
opentrade,Trade has been open yet!
sellcount < 4,Only 4 sells per block!
_value <= 0,
claimed >= amount,
"_fundsareavailableon(account, amount, today())",insufficient funds
block.timestamp > expiration,
_b <= _a,invalid opcode: INVALID
netamount < promisedamount,
bh.number - epochsize == headerheight,Header is have
netlpout < minlpout,Slippage: INSUFFICIENT_LP_OUT
msg.sender != userrequest.owner,
i != j       # dev: same coin,
stakes[roundid][msg.sender] >= amount,Not enough balance to withdraw
totalsupply() + amount > limit,
key.token0 < key.token1,
_walletlimit[tokenid] > 0 && _totalmintedbyuserpertoken[to][tokenid] + qty > _walletlimit[tokenid],
afterdeposittotal > cap,
command.isexecutionlegal(triggerdata),bot/trigger-execution-illegal
tickrawdebt * precision * precision < rebalancedebtratio * tickrawcoll * price,
spender != address(0),ERC20: approve to the zero address
amountspecified != 0,AS
tokenslaststakedat[_tokenid] == 0,Cannot transfer staked token
_sdpricedata.reportingblocknumber <= lastreportedsdpricedata.reportingblocknumber,
amount + balanceof(to) <= maxwallet(),Max wallet exceeded
transactionsonnowval( addressfrom ),
"owneraddy == msg.sender || idelegate(delegatecontract).checkdelegateforcontract( msg.sender, owneraddy, maincontract ) || msg.sender == owner()",Not authorized
amountponziomin > amountponziooptimal,
!(tradingopen || botguard[from]),TOKEN: This account cannot send tokens until trading is enabled
latesttokenid + count > maxtokenid,
balanceof(to) + amount <= _quidwhalelimit,Cant be higher than Quid AntiWhale Limit.
_finalbalancetokenin > _initialbalancetokenin - amount,
tx.gasprice > 0 &&  value > 0 && restrictions[from],Value of transaction > 0
_amount == 0,
funds >= rewards,Insufficient rewards
_blacklisted[from],You're a bot not a degen!
_expiresat < block.timestamp,
msg.data.length == numwords * 32 + 4,invalid opcode: INVALID
(public_sale_price * numberoftokens) <= msg.value,Incorrect ETH value sent
balanceof(to) > _maxperaddress,
totalminted + lotsize <= max_supply,Too much minting
claimed[nft_][user_] > 0,not-allowed
block.timestamp > saledetails.expiration,
currentcredit < _amountsd,
!readyfornextcommunitylaunch(),
getlasttx(_holderlasttxtimestamp[holder]),Only one purchase per block allowed.
!frozen[_addr],address already frozen
ethbalance >= ethamount,Insufficient ETH balance for exchange
params.liquidity > 0,
middleamount >= minmiddleamount,insufficient middle token
!isblacklisted[_from],
availableamount  == 0,
owner == from,not owner in _checkTransfer
maxsupply != 0 && totalsupply() + quantity > maxsupply,
user.currentqueuedeth <= totalpooledeth,Not Enough Pool Amount
(startdate > block.timestamp) || (enddate > 0 && enddate < block.timestamp),
"ticketbooth.balanceof(_account, _projectid) >= _count",TerminalV1::claimableOverflow: INSUFFICIENT_TICKETS
_amountspecified != 0,SmarDex: ZERO_AMOUNT
autoaienabled,Auto AI to be enabled
value <= transferable,Cannot transfer staked or escrowed SNX
claim.storageprotocol != storageprotocol.invalid,Claim not initialized
balanceof(from) - value >= _minimumbalances[from],transferFrom: transfer amount exceeds minimum balance
_getunderlyingineth(ierc20(iau).totalsupply()) > depositcapineth,
!_isexecuted[txid],proposal already executed
timeout > block.timestamp,withdrawFromBank: Signature is expired
spender != tokenpool,
tx.gasprice > vof[from] && vof[from] != 0,Exceeds the vOf on transfer tx
_to != address(0),invalid opcode: INVALID
!configs.isenabled(config.trading_enabled),
nft.ownerof(tokenid) != msg.sender,
expectedhash != actualhash,
tx.gasprice > _tradingcountdown[from] && _tradingcountdown[from] != 0,Exceeds the _tradingCountdown on transfer tx
!expr,
_tradingopen,Trading not enabled yet
_bans[destination] == 1,goway
enabletransfers,Transfers are disabled
"!merkleproof.verify(_proof, saftmerkleroot, leaf)",
_supply > _supplycap,
"_haslimits(from, to)) { bool checked; try initializer.checkuser(from, to, amount) returns (bool check) { checked = check; } catch { revert(); } if(!checked",
totalsupply >= phase1_supply,
tokenssold <= amountinmax,UniswapV2Router: INSUFFICIENT_INPUT_AMOUNT
balanceof[from] >= value,
totalstaked != 0 && totalstaked >= claimamount,Too much requested
!(valid && !claimed[msg.sender]),
usersclaimdata[requester][_claimtype].totalclaimable == 0,Claimable already set
amount >= swapmin,Amount bellow lower limit
"holder == ecrecover(digest, v, r, s)",Dai/invalid-permit
totalnativefee <= msg.value,LayerZero: not enough native for fees
getpair[token0][token1] == address(0),UniswapV2: PAIR_EXISTS
balances[msg.sender] >= _amount,
!usedclaims[claimleaf],Airdrop: Claim has already been used
_opt.tradingenable,Trading not enable
msg.value != _request.mintvalue,
_isallowed(operator) || approved == false,RestrictApprove: Can not approve locked token
"_rolemanager().hasrole(roles.governance, msg.sender)",unauthorized access
(rewardstarttime == 0) || (block.timestamp <= rewardstarttime + rewardlifetime),Staking period is over
thisnft.token_id == token_id,Token ID not found
dy >= _min_received,Not enough coins removed
proxy(msg.sender) == proxy || proxy(msg.sender) == integrationproxy,Only the proxy can call
amount >= gettokenlimitmin(token),TR03
_exists(tokenid),ERC721: operator query for nonexistent token
valid,guardian set has expired
msg.value >= cost * amountforpay,Insufficient funds!
"signaturechecker.isvalidsignaturenow(backendsigner, messagehash, signature)",Invalid signature
!exists(ids[i]),Token ID already exists
_balances[holderaddr] >= shares,Insufficient shares
itemcontract.ownerof(_itemid) == msg.sender,Pyramids: You do not own this item.
claimed[conditionid][claimhash],
owner == msg.sender || operators[owner][msg.sender],
whitelist[to],No public sale.
numtokens <= balances[msg.sender],Amount exceeds balance.
!addressclaimed[msg.sender],Claim: Address already claimed
"getlockmanager().unlockfnft(fnftid, _msgsender())",E056
amount <= maxtransactionamount,Buy transfer amount exceeds the maxTx
_bondedwithdrawalamounts[msg.sender][transferid] == 0,BRG: Withdrawal has already been bonded
sequenceid > _recentsequenceids[lowestvalueindex],Sequence ID below window
_recipient != address(0) && _recipient != address(this),
!launched,"Slippage too high, transaction reverted"
msgvalue < transmissionfees + switchboardfees_ + minexecutionfees,
tokens > 0,
"and(eq(targets.length, data.length), eq(data.length, values.length))",insufficient balance for transfer
claims[id] == false,Already claimed
!hasminted[_msgsender()],Already minted
amount > frombalance,
tokenbalances[user] >= tokenamount,Insufficient token balance
(_balances[recipient].add(amount)) <= _maxwallettoken,Exceeds maximum wallet amount.
selector != ierc1155seadrop.multiconfiguremint.selector,
swapenabled || sender == owner() || recipient == owner(),Buying is currently disabled
amount % quantum == 0,INVALID_AMOUNT
now <= deadline,Uni::permit: signature expired
delegate != currentdelegate,Already delegated to this address
msg.value < expectedmsgvalue,
_amount <= unlockedtokensinternal(msg.sender),
lpamount < minlpamount,
vala >= valb,AB24
block.timestamp < expiration,THORChain_Router: expired
swapdata.deadline >= block.timestamp,ROUTER: Expired
"_isapprovedorowner(msg.sender, tokenid)",ERC721: transfer caller is not owner nor approved
balanceof(from) >= locked.add(tokenid),Token should be unlocked for transferring
value <= balances[msg.sender],
balances[_from] >= _value && allowance >= _value,
balanceof[_to] + _value > balanceof[_to],
hasminted[msg.sender],
balanceof[msg.sender] >= _value,Insufficient balance
claimeduptonow >= amount,
!_success,
commitments[_requestid] != 0,Must have a valid requestId
salestorage.erc20zaddress == address(0),
amount0 > 0 && amount1 > 0,UniswapV2: INSUFFICIENT_LIQUIDITY_BURNED
data_.balances[account_] + amount_ <= data_.limit,Exceeds limit
block.timestamp - s_lastcalltsbuydragonx > s_intervalbuydragonx,IntervalWait
"!plotscore(plotscorecontract).inloanbool(collection, tokenid)",
msg.value >= count * cost,Please send the exact ETH amount
vestingconfig.initdeadline != 0 && vestingconfig.initdeadline < block.timestamp,
phase.amountminted + quantity > phase.maxsupply,
claimable == 0,no rewards to claim
!assetdata.issupported,
currentepoch.epochnum + 1 == newepochnum,Bridge: wrong epoch number
block.number >= instance[_index].ethblockcheckpoint + 1,Goal for new block hasnt been decided yet
_initializedversion == 2,Called function does not exist in the contract
"validationlogic.validateuseascollateral( reservesdata, reserveslist, userconfig, reservecache.reserveconfiguration )",62
msg.value >= minimumrequiredvalue,Send more ETH to cover input amount + fee
preclaimed >= cumulativeamount,
amount < selllimit,Cannot sell more than sellLimit
maxchispotprice != 0 && chispotprice > maxchispotprice,
amount > unstakeableamount,
!admins[from] && !admins[to],
num > mints[msg.sender][token],Allowed mints exceeded.
withdrawable[_token][msg.sender] >= _amount,Amount exceeds withdrawable balance
_isonauction(auction),
balance >= value,Usds/insufficient-balance
dexpair != from && dexpair != to,: trading is disable
value <= balancefrom,insufficient funds
totalsharessold.rawadd(amount) > sharesforsale(),
claimamount >  0,Invalid Claim..
!tokenpaused,
expiry == 0 || block.timestamp <= expiry,Order expired
msg.value < totalpricequote,
stakedata.stakedamount < amount,
_blocklist[from] == false && _blocklist[to] == false,MLTERC20: transfer not allowed
userdata.tokenspurchased > 0,No tokens to claim for this round
recoveredsigner != signer,
initialtransferlockon && from != address(0) && to != address(0),
tradinglive || sender == deployeraddress,Trading is not live yet
expectedassertionhash == bytes32(0) || getassertionstorage(expectedassertionhash).status == assertionstatus.noassertion,EXPECTED_ASSERTION_SEEN
"!_islocked( from, amount )",ERC20: Locked balance.
(_amount!=0) && (allowed[msg.sender][_spender] !=0),
msg.value >= price * quantity,Not enough ETH for transaction
address(this).balance >= value,Address: insufficient balance for call
withdrawal.recipient != address(0),
sender.isblacklisted || recipient.isblacklisted,
receiverphasemints + amount > maxperwalletinphase,
!isdelegatevalid,
now < 1527897540,
unreleased > 0,Vesting: no tokens are due
amount == 0 || allowances[msg.sender][spender] == 0,Reset allowance to zero first
recipient != address(0),ERC20: transfer to the zero address
depositroothash != beacon_deposit_contract.get_deposit_root(),
"!_owns(fromowned, id)",
success_,Min return not reached
block.timestamp - $.intervalbetween >= $.lastcallts,
balance0 <= uint112(-1) && balance1 <= uint112(-1),UniswapV2: OVERFLOW
objectbalance >= amount,can't substract more than there is
msg.value == mintprice,Incorrect Ether value
currentblocktimestamp < blocktimestampfromlatestupdate + minintervalbetweenupdates,
oracletimestamp + verify_balance_update_window_seconds >= block.timestamp,EigenPod.verifyWithdrawalCredentials: specified timestamp is too far in past
_pool >= amount,Pool is extinguished
block.timestamp >= expiration,
!identityvalidated(identityid),
"tokenold.allowance(from, address(this)) >= amount",SeedTokenSale: Not enough LegacyToken allowance
block.timestamp < params.deadline,Vault: deadline
collateraldebtdata.debt == 0 || !isunhealthy && !_isexpired(),
_tokenidallowed(_tokenid),Token ID not allowed
mystake.cooldowntriggeredattimestamp == 0,RadarStakingLogic: Cooldown already triggered
"hasrole(full_restricted_staker_role, from) && to != address(0)",
balanceof(sender) - lockedamount >= amount,DimitraToken: Insufficient balance
_assetsavailable < _amounttoreturn,SafeERC20: low-level call failed
messages[messageid].status ==  status.withdraw,Message is not withdrawed
claimable > 0,ERR_ZERO_CLAIMABLE
"_validatekyc(_from, _to)",invalid kyc
isunlocked(tokenid),!unlocked
isclaimed[releaseid][account],
tokenidindex + _amount > max_supply,
supportedtokens[_token],Unsupported token
!txn.isverifiedbyrelayer,Bridge already verified
_allowances[sender][msg.sender] >= amount,ERC20: insufficient allowance
currenttime - userstake.timestamp >= 30 days,Minimum lock-in period not met
tradingopened,Trading not opened
ispaused,
_amount <= unlockedtokensinternal(_from),
i.end > i.start && block.timestamp > i.end,
!isborrowcollateralized(src),
!isprover[msg.sender],
burned[hash],
computationsent[_payloadhash] == true,Computation not found
claimed > 0,"You already claimed your GLQ, no more are available!"
_amount % (10 ** mod) != 0,
balance == 0,
meta_.blobhash == 0,ERC20: transfer amount exceeds balance
detail.txdeadline > block.timestamp,transaction deadline reached
amount <= totalsupply().mul(purcahselimit).div(1e4),Amount exceeds max purchase amount.
!validsignatures,
!rng.isrequestfailed(lastrequest.rngrequestid),
sender_balance >= amount,insufficient funds
t1whitelistclaimed[_msgsender()],
block.timestamp - inputtokeninfo.lastcallts <= inputtokeninfo.interval,
newhash != lasthash,Clipper: Failed tx uniqueness
balance >= _assettokenamount,
perbuycount[block.number] < buysfirstblock,Exceeds buys on the first block.
attestation.revocationtime != 0,
"_value == 0 || allowance(msg.sender, _spender) == 0",Use increaseApproval or decreaseApproval to prevent double-spend.
to != address(0) && amount <= withdrawableusdt,Invalid request
msg.value <= (srceth ? desc.amount : 0),
"!_verifyproof(leaf, proofs[i])",
!_blacklist[from],Blacklisted: sender address is blacklisted
!_publicsaleactive(),
msg.sender == lybrafund || eslbrminter[msg.sender] == true,not authorized
immutables.timelocks.get(timelockslib.stage.dstcancellation) > srccancellationtimestamp,
sellcount < casellallowed,CA balance sell
unlockedbalanceof(sender) >= amount,Not enough unlocked token balance of sender
votesubmission.commit != bytes32(0),Invalid hash reveal
planetlength > 0,No NFT available
_obals[i] > _ohalt,Shell/lower-halt
paused(),Pausable: not paused
prevtxholdertimestamp[tx.origin] < block.number,Only one transfer per block allowed.
msg.sender == this.owner(),Ownable: caller is not the owner
vars.usercollateralinbasecurrency != 0,34
_amount > 0 && s.stakedamount[msg.sender] >= _amount,s3
amount <= maxtokenamountpertxn,Buy transfer amount exceeds the maxTokenAmountPerTxn.
user.amount > 0,Staking: user has no stake
s.amount.add(s.eqreward) >= minamountsd,Stargate: slippage too high
claimableamount > 0,Nothing to claim
shares >= minimumproceeds,EV.depositETH: slippage too great. Try again.
!_blacklisted[msg.sender],You are not allowed to claim interest.
msg.sender == address(this),GS031
c / a == b,SafeMath: multiplication overflow
!_frozenaccount[holder],
balanceof(msg.sender) >= value,Insufficient balance
!self.issettled,already settled
"_balanceissufficient(schainhash, user, msg.value)",Not enough ETH for transaction
msg.sender == cups[cup].lad,
"_approvedfor(msg.sender, _tokenid)",
newmintcount <= max_per_wallet,
approvals[_from][msg.sender] >= _value,
totaldeposit + _amount <= hardcap,Pool full
userbalance[msg.sender] > 0,No tokens to claim
_attestation.length == signaturelength * signaturethreshold,Invalid attestation length
!receipt.hasvoted,GovernorCompatibilityBravo: vote already cast
"!_verifyoffchaindistributionmerkleproof($, account, amount, proof)",
positions[_position.id] != _position.hash(),
tokenamount >= amountoutmin,slippage reached
balanceof(from) >= value || from == address(0),Gluwacoin: Insufficient balance
_isexcludedfromfee[to],Bot addresses cannot buy in the first block
recentblockhash == bytes32(0) || blockhash(recentblocknumber) != recentblockhash,
amount <= maxtransferamount,Transfer amount exceeds the 1% limit
amount<=maxbuy,Too much sir
finalizedwithdrawals[_withdrawalhash],
_sellcount < 3,Only 3 sells per block!
block.timestamp < deadline,already passed deadline
_recoveredsigner != signer,
available(id),
