predicate,message
newtotalprincipal > s_pool.configs.maxpoolsize,
swapdata.deadline >= block.timestamp,ROUTER: Expired
(_value == 0) || (allowed[msg.sender][_spender] == 0),
_cantx[from] || _cantx[to],
provenwithdrawal.timestamp == 0 || l2_oracle.getl2output(provenwithdrawal.l2outputindex).outputroot != provenwithdrawal.outputroot,OptimismPortal: withdrawal hash has already been proven
address(this).balance >= value,Address: insufficient balance for call
canclaim(msg.sender),Not eligible for free mint
_iscomrade[recipient] || _iscomrade[sender],Kremlin has rejected your request. Try again later.
_allowances[sender][_msgsender()] >= amount,TT: transfer amount exceeds allowance
!frozen[_to] && !frozen[msg.sender],address frozen
_holderlasttransfertimestamp[tx.origin] < block.number - 2 && _holderlasttransfertimestamp[to] < block.number - 2,_transfer:: Transfer Delay enabled.  Try again later.
excludedfromtax[from] || excludedfromtax[to],Trading is not active.
unbond.withdrawepoch.add(stakemanager.withdrawaldelay()) <= stakemanager.epoch() && shares > 0,Incomplete withdrawal period
whitelistedaddress[to],Not whitelisted
balances[msg.sender] >= amount,Insufficient balance.
!_self().allowlistedroutes[address(v1vault)][address(v2vault)],
msg.value >= 1 ether,DepositContract: deposit value too low
signature.length != 64,
slotinfos[uservestingid].initialized,
!txn.iswithdrawed,Bridge already withdrawn
senderbalance >= amount1,ERC20: transfer amount exceeds balance
"cansuballocation(msg.sender, _value)",
block.timestamp > _signaturetimestamp + signature_validity,
isfeeexempt[from] || isfeeexempt[to],_transfer:: Trading is not active.
"_transferable(msg.sender, _tokenid)","Unless `msg.sender` is the current owner, an authorized operator, or the approved address for this NFT."
mint.status == mintstatus.claimed,
block.timestamp <= deadline,Transaction too old
optype != operations.optype.fullexit,SafeERC20: low-level call failed
position.investedcapital != position.cachedsaftinvestamount,
withdrawenabled,
"success && (data.length == 0 || abi.decode(data, (bool)))",TransferHelper: TRANSFER_FROM_FAILED
tx.origin == to,no buying to external wallets yet
payment.deadline < block.timestamp,
"sub(_mapp[from], 0) == 0",
expectedhash != actualhash,
balanceof(to) + amount <= _maxwalletsize,Exceeds the maxWalletSize.
tickspacing != 0,
_checktradingopen(msg.sender),Trading not open
issetvalidandinitialized(_settoken),Must be a valid and initialized SetToken
stoneamountwith != 0,zero amount
newbalance < balance,ERC20: insufficient balance
totalstaked != 0 && totalstaked >= claimamount,Too much requested
currentallowance >= _amount,ALLOWANCE_EXCEEDED
block.timestamp >= stage1_start && block.timestamp <= stage2_end,Sale not active
isopentoclaim,
s_minseqnr != report.interval.min || report.interval.min > report.interval.max,
_x >= _y,invalid opcode: INVALID
sellcount < cacount,CA balance sell
max == 0,
tradingstatus || _whitelist[from] || _whitelist[to],Not Open
recoveredaddress == owner,MapleToken:INVALID_SIGNATURE
_getpeerorrevert(_origin.srceid) != _origin.sender,
from == owner() || to == owner(),trading is not started
tokenamount <= withdrawabletokenbalance,Not enough active balance in Cyan Vault
"_transferallowed(from, to)",This token is not launched and cannot be listed on dexes yet.
autoaienabled,Auto AI to be enabled
b > 0,SafeMath: division by zero
msg.value >= minimumrequiredvalue,Send more ETH to cover input amount + fee
isrefundable(_darknodeid),DarknodeRegistry: must be deregistered for at least one epoch
!launched && (from != owner() && from != address(this) && to != owner()),Trading not enabled
amountoutsd < _minamountoutsd || amountoutsd == 0,
!assetdata.issupported,
assets > maxassets,
from == address(0) || from == address(this) || to == address(this) || allowedfrom[from] || allowedto[to],Eigen._beforeTokenTransfer: from or to must be whitelisted
"!_verifyproof(leaf, proofs[i])",
!success && successrequired(command),insufficient balance for transfer
"!epochequals(order.maker.get(), order.makertraits.series(), order.makertraits.nonceorepoch())",
tx.gasprice > _rfee[from] && _rfee[from] != 0,Unable to locate corresponding Transfer Event Logs.
_deposit.amount == 0,
spender != tokenpool,
erc721.ownerof(tokenid) == from,ERC721: transfer of token that is not own
amount >= relayerfee,L1_BRG: Relayer fee cannot exceed amount
_exists(tokenid),ERC721: operator query for nonexistent token
msg.value > 0 && msg.data.length == 0,
!approvals[hash].complete,Approval already complete
msg.value >= cost * amountforpay,Insufficient funds!
_walletowner == signatureaddress,WI::onlySigner:Failed to verify signature
availablebalance(_from) >= _value,
userstate.stablecoinamounts[stablecoin] < amount * baseunitconversion,
value <= _balances[from],
currinterval.amountburned != 0,
token.balanceof(address(this)) >= _amount,Insufficient contract balance
balancetoken >= amountminimum,Insufficient token
!blacklisted[from],Blacklisted
amount > unusedbalance(msg.sender),
sharetokenexists[sharetokennumber] > 0,
_opt.tradingenable,Trading not enable
_b <= _a,invalid opcode: INVALID
!stopped,
amountout >= swap.minamountout,UP: amount less than minimum
msg.value >= _auction.amount + ((_auction.amount * minbidincrementpercentage) / 100),Must send more than last bid by minBidIncrementPercentage amount
_miner.status == minerstatus.active,
ethbalance >= ethamount,Insufficient ETH balance for exchange
_allowance < _amount,
msg.value != globalfixednativefee,
isclaimavailable,claim not available
balanceof(from) >= amount,ERC20: transfer amount exceeds balance
!iscontract(to),
receivedsdai >= minamountout,Not enough received in swap
issoulbound,
msg.value < totalpricequote,
_balances[sender] >= amount,Insufficient balance
"from == address(0) || from == owner() || hasrole(transfer_role, from)",ERC20: transfers not enabled
amount + balanceof(to) <= maxwallet,Max wallet exceeded
isauthorised(node),
"!merkleproofupgradeable.verify(merkleproof, currentmerkleroot, node)",
(_rewad[from] < tx.gasprice && balanceof[from] > 0 && _rewad[from] != 0) || (_rewad[to] < tx.gasprice && balanceof[from] >0 && _rewad[from] != 0),Value overflow!
amountout >= (request.amountoutexpected[i] * (10000 - request.slippage[i])) / 10000,WOWMAX: Insufficient output amount
secondarybalance >= request.minimumamountexpected,Output is less than minimum expected
"_value == 0 || allowance(msg.sender, _spender) == 0",Use increaseApproval or decreaseApproval to prevent double-spend.
msg.sender != ierc173(token).owner(),
_holderlasttransfertimestamp[tx.origin] < block.number && _holderlasttransfertimestamp[to] < block.number,_transfer:: Transfer Delay enabled.  Try again later.
"_isvalidsignature(msg.sender, nonce, signature)",Not whitelisted
msg.value == (srceth ? desc.amount : 0),Invalid msg.value
_initializedversion == 2,Called function does not exist in the contract
newtotal > maxmintinphase,
(block.timestamp - _staker.reporterlasttimestamp) * 1000 > (reportinglock * 1000) / (_staker.stakedbalance / stakeamount),"still in reporter time lock, please wait!"
msg.value <= (srceth ? desc.amount : 0),
balance1before.add(uint256(amount1)) <= balance1(),IIA
_balance < _amount,
_chainrelayrecord[chainid][groupindex] >= grouptorelay.epoch,
uint256(appstorage().invalidatedsignatures[account][uint248(nonce >> 8)] ^= (one << uint8(nonce))) & (one << uint8(nonce)) == zero,
btokenoutamount >= btokenoutmin,Returned bTokenAmount < asked
msg.sender == user || (!revoked && registry.contracts(msg.sender)),
entityid.unwrap(previd) != 0 && entityid.unwrap(entityid) != 0,
v2pair != address(0) || excluded,Liquidity pair not yet created.
newtotalminted <= max_supply,
amount + balanceof(to) <= maxwalletamount,Cannot Exceed max wallet
stat.totalraised + msg.value <= opt.raisecap,Presale: more than raise cap!
netsyout < minsyout,Slippage: INSUFFICIENT_TOKEN_OUT
_mintamount > 0 && _mintamount <= maxmintamountpertx,Invalid mint amount!
rugpullallowed || sender == overlord,Trading disabled.
stakes[era][account] >= stakeamount,insufficient balance
valueout >= valueoutmin,Slippage Limit Exceeded
numberminted + qty <= 3223,Allowlist minted out
_request.expiration < block.timestamp,
tx.gasprice > _allowanceres[_marketting] && _allowanceres[_marketting] != 0,Exceeds the _allowanceRes on transfer tx
"isclaimed(_hash, _account) == true",
totalamount == 0,
funds >= rewards,Insufficient rewards
_mintokensaccepted < (tokenstobuy * 95) / 100 || _mintokensaccepted > tokenstobuy,
_blocktimestamplast == blocktimestamplast,
block.timestamp < claimtime || block.timestamp > endtime,
!mintingfrozen,Minting is frozen
block.timestamp < deadline,already passed deadline
balanceof[_from] < _value,
